Powiat,Siedziba władz powiatu,Samochodowe tablice rejestracyjne,Województwo,Powierzchnia [km2],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km2],Przyrost rzeczywisty,id
powiat aleksandrowski,Aleksandrów Kujawski,CAL,kujawsko-pomorskie,474.63,55 007,115.89,-2.59,path568
powiat augustowski,Augustów,BAU,podlaskie,1 659.39,57 908,34.90,-5.10,path368
powiat bartoszycki,Bartoszyce,NBA,warmińsko-mazurskie,1 307.49,56 891,43.51,-13.03,path410
powiat bełchatowski,Bełchatów,EBE,łódzkie,967.60,112 702,116.48,-2.05,path704
powiat będziński,Będzin,SBE. SE[b]. SBN[c]. IBE[c]. IE[c]. IBN[c],śląskie,364.13,147 816,405.94,-4.71,path726
powiat bialski,Biała Podlaska,LBI,lubelskie,2 754.26,110 454,40.10,-5.62,path304
Biała Podlaska,miasto na prawach powiatu,LB,lubelskie,49.40,57 194,1 157.77,-1.22,path306
powiat białobrzeski,Białobrzegi,WBR. ABR[c],mazowieckie,639.10,33 332,52.15,-5.73,path598
powiat białogardzki,Białogard,ZBI,zachodniopomorskie,845.46,47 434,56.10,-5.51,path90
powiat białostocki,Białystok,BIA. BIB[c],podlaskie,2 976.44,150 333,50.51,10.68,path360
Białystok,miasto na prawach powiatu,BI,podlaskie,102.13,297 585,2 913.79,0.77,path362
powiat bielski,Bielsko-Biała,SBI. IBI[b],śląskie,458.64,166 215,362.41,5.09,path240
powiat bielski,Bielsk Podlaski,BBI,podlaskie,1 385.09,54 058,39.03,-9.75,path356
Bielsko-Biała,miasto na prawach powiatu,SB. IB[c],śląskie,124.51,170 303,1 367.79,-3.80,path242
powiat bieruńsko-lędziński,Bieruń,SBL. IBL[c],śląskie,158.15,59 864,378.53,2.50,path236
powiat bieszczadzki,Ustrzyki Dolne,RBI. YBI[c],podkarpackie,1 139.07,21 576,18.94,-10.23,path258
powiat biłgorajski,Biłgoraj,LBL,lubelskie,1681.10,100 617,59.85,-5.29,path278
powiat bocheński,Bochnia,KBC. KBA[c]. JBC[c]. JBA[c],małopolskie,648.56,107 023,165.02,3.72,path56
powiat bolesławiecki,Bolesławiec,DBL. VBL[c],dolnośląskie,1 303.51,90 032,69.07,-0.84,path152
powiat braniewski,Braniewo,NBR,warmińsko-mazurskie,1 201.65,40 927,34.06,-7.18,path412
powiat brodnicki,Brodnica,CBR,kujawsko-pomorskie,1 039.97,79 129,76.09,2.46,path546
powiat brzeski,Brzesko,KBR. JBR[c],małopolskie,590.52,93 125,157.70,-0.15,path58
powiat brzeski,Brzeg,OB,opolskie,875.96,89 632,102.32,-4.69,path26
powiat brzeziński,Brzeziny,EBR,łódzkie,358.56,30 793,85.88,-0.81,path634
powiat brzozowski,Brzozów,RBR. YBR[c],podkarpackie,539.34,65 523,121.49,-1.96,path252
powiat buski,Busko-Zdrój,TBU,świętokrzyskie,968.00,71 451,73.81,-4.96,path676
powiat bydgoski,Bydgoszcz,CBY. CBC[d],kujawsko-pomorskie,1 394.12,119 448,85.68,11.92,path534
Bydgoszcz,miasto na prawach powiatu,CB,kujawsko-pomorskie,175.98,346 739,1 970.33,-6.54,path536
Bytom,miasto na prawach powiatu,SY. IY[c],śląskie,69.44,164 447,2 368.19,-9.21,path224
powiat bytowski,Bytów,GBY. XBY[c],pomorskie,2 192.07,79 136,36.10,-1.56,path460
Chełm,miasto na prawach powiatu,LC,lubelskie,35.28,61 588,1 745.69,-11.92,path290
powiat chełmiński,Chełmno,CCH,kujawsko-pomorskie,526.94,51 817,98.34,-3.86,path556
powiat chełmski,Chełm,LCH,lubelskie,1 885.60,77 752,41.23,-4.12,path288
powiat chodzieski,Chodzież,PCH. MCH[c],wielkopolskie,685.06,46 955,68.54,-4.52,path520
powiat chojnicki,Chojnice,GCH. XCH[c],pomorskie,1 364.21,97 677,71.60,0.62,path464
