Województwo,Siedziba,Powierzchnia [km2],Ludność,Gęstość zaludnienia [osób/km2],Liczba powiatów,Poziom urbanizacji,Stopa bezrobocia,PKB na 1 mieszkańca,Wyróżnik na tablicach rejestracyjnych,TERYT,id
dolnośląskie,Wrocław,19 947.04,2 874 496,144.1,26 + 4 miasta,68.61%,5.4%,57 228,D. V,02 (DS),path252-8-9
kujawsko-pomorskie,Bydgoszcz1)Toruń2),17 971.55,1 990 323,110.7,19 + 4 miasta,59.09%,9.2%,41 875,C,04 (KP),path68-9-7
lubelskie,Lublin,25 122.43,2 003 475,79.7,20 + 4 miasta,46.46%,8.4%,35 712,L,06 (LU),path216-4
lubuskie,Gorzów Wielkopolski1)Zielona Góra2),13 987.72,972 140,69.5,12 + 2 miasta,64.95%,6.2%,42 755,F,08 (LB),path190-6-2
łódzkie,Łódź,18 218.98,2 354 135,129.2,21 + 3 miasta,62.55%,6.3%,48 126,E,10 (LD),path208-5-3-6
małopolskie,Kraków,15 183.59,3 429 685,225.9,19 + 3 miasta,48.19%,4.9%,47 272,K. J,12 (MA),path384-7-9-7
mazowieckie,Warszawa,35 558.71,5 510 618,155,37 + 5 miast,64.40%,5.1%,83 123,W. A,14 (MZ),path186-1-9-2-7
opolskie,Opole,9 411.60,933 349,99.1,11 + 1 miasto,53.30%,6.6%,41 080,O,16 (OP),path300-3-2-1
podkarpackie,Rzeszów,17 845.37,2 067 139,115.8,21 + 4 miasta,41.09%,9.1%,36 088,R. Y,18 (PK),path308-3-5-0
podlaskie,Białystok,20 186.85,1 135 201,56.2,14 + 3 miasta,60.79%,8.1%,37 077,B,20 (PD),path14
pomorskie,Gdańsk,19 546.81,2 359 956,120.7,16 + 4 miasta,63.66%,5.2%,50 001,G. X,22 (PM),path10
śląskie,Katowice,12 334.07,4 305 126,349,17 + 19 miast,76.73%,4.5%,53 654,S. I,24 (SL),path302-3-0-2
świętokrzyskie,Kielce,11 708.78,1 163 001,99.3,13 + 1 miasto,44.86%,8.7%,36 970,T,26 (SK),path262-9-0-4-6
warmińsko-mazurskie,Olsztyn,24 173.71,1 353 374,56,19 + 2 miasta,58.99%,10.9%,36 306,N,28 (WN),path16-0-6
wielkopolskie,Poznań,29 826.75,3 484 177,116.8,31 + 4 miasta,54.27%,3.3%,56 496,P. M,30 (WP),path152-1-7-3
zachodniopomorskie,Szczecin,22 909.65,1 626 876,71,18 + 3 miasta,68.50%,7.8%,43 150,Z,32 (ZP),path40
